hole_ID,depth,dip,azimuth
BSAC001,0,-60,210
BSD023,0,-59.700001,236.1
LLDKN004,0,-79.860001,270.197
NID007,0,-60,269.596
NMD156W1,0,-55.23,272.68
FSRC046,50,-61.200001,332
FSRC048,50,-61.299999,152
BD050,0,-60.709999,272.5
NMD140,0,-74.93,273.72
NMD150,0,-52.66,271.78
FFD166,0,-67.949997,269.877
BD054,0,-74.300003,269.4
LAD055,0,-60.200001,86
NMD146,0,-55.299999,271.17
NMD160,0,-61.84,271.26
BD052,0,-59.860001,269.21
FSRC044,50,-59.5,332
FSRC045,50,-60.599998,332
FSRC047,50,-59.099998,332
BD051,0,-80.18,269.78
BSD025,0,-74.300003,197.6
LAD054,0,-60,88.5
NID006,0,-60,269.596
NMD151,0,-74.82,271.82
BD049,0,-60.75,272.45
BSD024,0,-70.699997,221.3
NMD148,0,-65.849998,272.49
BD048,0,-60.549999,273.79
BSAC003,0,-60,226
BSD026,0,-70.300003,232.2
BD052W1,0,-59.860001,269.21
BSAC002,0,-60,210
NMD141,0,-60.939999,276.06
NMD144,0,-78.120003,266.47
NMD153,0,-62.93,271.71
NH12-02,0,-90,0
ZK100-1,351.14999,-75,225
NMD183,0,-73.800003,267.5
NMD165,0,-58.240002,272.05
NMD174,0,-74.019997,271.86
NMD175,0,-71.709999,270.78
NMD179,0,-69.970001,242.13
WLL001,0,-60.700001,269
WLL006,0,-50.700001,269.8
WLL009,0,-69.800003,273.3
NMD180,0,-63.84,271.82
VLLD032,0,-60,269.517
WWRC093,0,-68.800003,270
ZK101-1,350.10001,-75,225
NMD185,0,-58.099998,291.2
WBD201,0,-60.599998,275.6
SFD008,0,-59.900002,295
WLL007,0,-60.099998,268
WLL008,0,-64.900002,270.9
WLL010,0,-78.699997,269.9
NMD168,0,-66.580002,269.08
NMD178,0,-52.110001,336.17
NMD184,0,-61.5,269.9
VLLD033,0,-63,269.517
VLLP018,0,-60.200001,269.7
WLL005,0,-71.099998,269.8
WLL003,0,-60.200001,272.4
WLL004,0,-50.200001,269.4
XRD002,0,-61.040001,86.51
WLL002,0,-55.5,304.3
WLL011,0,-72.099998,268.8
NMD167,0,-55.169998,269.43
NMD171,0,-55.439999,271.21
NMD181,0,-68.440002,271.65
WBD202,0,-67.199997,257.6
WWRC092,0,-69.400002,271.2
NH12-01,0,-90,0
BSAC001,27,-60,210
BSD023,415,-59.700001,236.1
LLDKN004,1282.7,-79.860001,270.197
NID007,256,-60,269.596
NMD156W1,689.95001,-55.23,272.68
FSRC046,250,-61.200001,332
FSRC048,210,-61.299999,152
BD050,277.10001,-60.709999,272.5
NMD140,681.5,-74.93,273.72
NMD150,259.88,-52.66,271.78
FFD166,480.70001,-67.949997,269.877
BD054,88,-74.300003,269.4
LAD055,500.48001,-60.200001,86
NMD146,221.8,-55.299999,271.17
NMD160,381.67999,-61.84,271.26
BD052,236.60001,-59.860001,269.21
FSRC044,198,-59.5,332
FSRC045,198,-60.599998,332
FSRC047,198,-59.099998,332
BD051,438.60001,-80.18,269.78
BSD025,403.07001,-74.300003,197.6
LAD054,492.70999,-60,88.5
NID006,192.8,-60,269.596
NMD151,720.59998,-74.82,271.82
BD049,283.79999,-60.75,272.45
BSD024,434.60001,-70.699997,221.3
NMD148,519.84998,-65.849998,272.49
BD048,354.73999,-60.549999,273.79
BSAC003,33,-60,226
BSD026,345.97,-70.300003,232.2
BD052W1,330.70001,-59.860001,269.21
BSAC002,35,-60,210
NMD141,592.08002,-60.939999,276.06
NMD144,700.06,-78.120003,266.47
NMD153,336.20999,-62.93,271.71
NH12-02,4,-90,0
ZK100-1,351.14999,-75,225
NMD183,214.07001,-73.800003,267.5
NMD165,324.67001,-58.240002,272.05
NMD174,248.98,-74.019997,271.86
NMD175,416.29999,-71.709999,270.78
NMD179,144.03999,-69.970001,242.13
WLL001,228.37,-60.700001,269
WLL006,327.23001,-50.700001,269.8
WLL009,531.95001,-69.800003,273.3
NMD180,179.92999,-63.84,271.82
VLLD032,294.5,-60,269.517
WWRC093,190,-68.800003,270
ZK101-1,350.10001,-75,225
NMD185,359.19,-58.099998,291.2
WBD201,384.92999,-60.599998,275.6
SFD008,168.39999,-59.900002,295
WLL007,264.51999,-60.099998,268
WLL008,267.94,-64.900002,270.9
WLL010,385.22,-78.699997,269.9
NMD168,360.62,-66.580002,269.08
NMD178,389.89999,-52.110001,336.17
NMD184,349.64001,-61.5,269.9
VLLD033,300.5,-63,269.517
VLLP018,399.57999,-60.200001,269.7
WLL005,652.15997,-71.099998,269.8
WLL003,279.32001,-60.200001,272.4
WLL004,342.76999,-50.200001,269.4
XRD002,387.79999,-61.040001,86.51
WLL002,453.23001,-55.5,304.3
WLL011,607.16998,-72.099998,268.8
NMD167,309.28,-55.169998,269.43
NMD171,125.85,-55.439999,271.21
NMD181,144.38,-68.440002,271.65
WBD202,360.67001,-67.199997,257.6
WWRC092,196,-69.400002,271.2
NH12-01,12,-90,0